# Note
# This file is generated by script, but you are able to edit it
# Each line constains following data:
# <model id>, <entity type>
# Summary: there are 50 models

doors.closed_door_28x80, InWallFloorEntity
doors.door, InWallFloorEntity
doors.door2, InWallFloorEntity
doors.open_door, InWallFloorEntity
furnitures.bed, FloorEntity
furnitures.bedside_table_shale, FloorEntity
furnitures.bedside_table_shale_white, FloorEntity
furnitures.blue_chair, FloorEntity
furnitures.blue_rug_60x96, FloorEntity
furnitures.bookshelf, FloorEntity
furnitures.chair_oak_white, FloorEntity
furnitures.coffee_table_wood, FloorEntity
furnitures.desk, FloorEntity
furnitures.dining_table, FloorEntity
furnitures.dresser_dark_wood, FloorEntity
furnitures.dresser_white, FloorEntity
furnitures.floor_lamp, FloorEntity
furnitures.full_bed, FloorEntity
furnitures.media_console_white, FloorEntity
furnitures.red_chair, FloorEntity
furnitures.side_table, FloorEntity
furnitures.sofa_grey, FloorEntity
furnitures.wooden_trunk, FloorEntity
home_decorations.nyc_poster, WallEntity
home_decorations.wall_clock, WallEntity
office.office_chair, FloorEntity
office.office_chair2, FloorEntity
shop.back_brace, FloorEntity
shop.checkstand, FloorEntity
shop.shelf, FloorEntity
shop.shelf2, FloorEntity
shop.shelf3, FloorEntity
shop.shelve, FloorEntity
shop.shelve2, FloorEntity
shop.shelve3, FloorEntity
shop.zhiyin_storefront, FloorEntity
shop.zhiyin_storefront_background, FloorEntity
shop.zhiyin_storefront_text, FloorEntity
shop.小货架A, FloorEntity
shop.小货架B, FloorEntity
shop.收银台A, FloorEntity
shop.收银台B, FloorEntity
shop.收银台C, FloorEntity
windows.glass_window, InWallEntity
windows.glass_window2, InWallEntity
windows.glass_window3, InWallFloorEntity
windows.residential_window, InWallEntity
windows.shop_window, InWallEntity
windows.white_window, InWallEntity
windows.window, InWallEntity
